admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries
MMR001001,12,23,20,32,14,15,0.25752871754408524,0.07843137254901959,0.29870129870129863,0.2916666666666667,0.027777777777777776,0.3440860215053764,0.5714285714285715,0.0784313725490196,0.2987012987012987,0.2916666666666667,0.027777777777777776,0.1741442789236907,Kachin,Myitkyina,6,11081
MMR001002,40,36,2,12,8,13,0.1692582037413074,0.26143790849673193,0.46753246753246747,0.16666666666666669,0.024074074074074074,0.12903225806451615,0.05714285714285715,0.26143790849673204,0.4675324675324675,0.16666666666666666,0.024074074074074074,0.22992777919248505,Kachin,Waingmaw,10,15365
MMR001003,9,1,0,1,0,0,0.016286323240568414,0.0588235294117647,0.012987012987012991,0,0,0.010752688172043019,0,0.058823529411764705,0.012987012987012988,0,0,0.017952635599694424,Kachin,Injangyang,2,641
MMR001004,34,16,0,9,3,51,0.11373356135653806,0.22222222222222218,0.20779220779220778,0.0625,0.09444444444444444,0.09677419354838711,0,0.2222222222222222,0.2077922077922078,0.0625,0.09444444444444444,0.14673971861471863,Kachin,Tanai,3,1926
MMR001005,0,0,0,4,0,0,0.004790880759903989,0,0,0,0,0.043010752688172046,0,0,0,0,0,0,Kachin,Chipwi,4,960
MMR001007,18,18,8,18,13,102,0.19701949455271053,0.1176470588235294,0.23376623376623376,0.27083333333333337,0.18888888888888888,0.19354838709677422,0.2285714285714286,0.11764705882352941,0.23376623376623376,0.2708333333333333,0.18888888888888888,0.20278387870299636,Kachin,Mohnyin,2,2438
MMR001008,12,4,6,8,5,4,0.08506374755679742,0.07843137254901959,0.051948051948051945,0.10416666666666666,0.00740740740740741,0.08602150537634409,0.17142857142857143,0.0784313725490196,0.05194805194805195,0.10416666666666667,0.007407407407407408,0.06048837464278642,Kachin,Mogaung,4,1563
MMR001009,77,66,10,24,14,145,0.4005326391057958,0.503267973856209,0.8571428571428571,0.2916666666666667,0.2685185185185185,0.25806451612903225,0.2857142857142857,0.5032679738562091,0.8571428571428571,0.2916666666666667,0.26851851851851855,0.4801490040460629,Kachin,Hpakant,3,3822
MMR001010,8,12,1,23,6,20,0.08732515786341417,0.05228758169934639,0.1558441558441558,0.125,0.037037037037037035,0.24731182795698928,0.028571428571428574,0.05228758169934641,0.15584415584415584,0.125,0.037037037037037035,0.09254219364513482,Kachin,Bhamo,9,11072
MMR001011,32,13,1,9,6,120,0.1450541265872452,0.20915032679738557,0.1688311688311688,0.125,0.2222222222222222,0.09677419354838711,0.028571428571428574,0.20915032679738563,0.16883116883116883,0.125,0.2222222222222222,0.18130092946269416,Kachin,Shwegu,4,1453
MMR001012,105,77,0,12,8,138,0.3663404894849675,0.6862745098039214,1,0.16666666666666669,0.2555555555555556,0.12903225806451615,0,0.6862745098039216,1,0.16666666666666666,0.25555555555555554,0.527124183006536,Kachin,Momauk,11,NA
MMR001013,20,15,0,1,0,4,0.05675526881949739,0.130718954248366,0.19480519480519476,0,0.00740740740740741,0.010752688172043019,0,0.13071895424836602,0.19480519480519481,0,0.007407407407407408,0.08323288911524207,Kachin,Mansi,8,13105
MMR001014,12,2,0,16,5,28,0.06312482029995413,0.07843137254901959,0.025974025974025983,0.10416666666666666,0.05185185185185185,0.17204301075268819,0,0.0784313725490196,0.025974025974025976,0.10416666666666667,0.05185185185185185,0.06510597926039104,Kachin,Puta-O,3,1560
MMR001015,11,0,0,1,1,18,0.026808630777613578,0.07189542483660129,0,0.020833333333333336,0.03333333333333333,0.010752688172043019,0,0.0718954248366013,0,0.020833333333333332,0.03333333333333333,0.03151552287581699,Kachin,Sumprabum,1,1698
MMR001016,1,0,0,1,0,0,0.0026955388323867324,0.006535947712418299,0,0,0,0.010752688172043019,0,0.006535947712418301,0,0,0,0.0016339869281045752,Kachin,Machanbaw,NA,NA
MMR001017,0,0,0,5,1,0,0.008474096105586013,0,0,0.020833333333333336,0,0.05376344086021506,0,0,0,0.020833333333333332,0,0.005208333333333333,Kachin,Nawngmun,NA,NA
MMR001018,0,0,0,0,1,0,0.0024854951557060257,0,0,0.020833333333333336,0,0,0,0,0,0.020833333333333332,0,0.005208333333333333,Kachin,Khaunglanhpu,NA,NA
MMR002001,29,25,11,30,15,56,0.24568889085516094,0.18954248366013068,0.3246753246753246,0.3125,0.1037037037037037,0.3225806451612903,0.3142857142857143,0.1895424836601307,0.3246753246753247,0.3125,0.1037037037037037,0.23260537800978978,Kayah,Loikaw,5,9709
MMR002002,90,24,1,22,20,387,0.3986184108747939,0.5882352941176469,0.3116883116883116,0.41666666666666674,0.7166666666666668,0.23655913978494625,0.028571428571428574,0.5882352941176471,0.3116883116883117,0.4166666666666667,0.7166666666666667,0.5083142347848231,Kayah,Demoso,5,4396
MMR002003,13,7,0,5,4,88,0.07916809925944682,0.0849673202614379,0.0909090909090909,0.08333333333333334,0.16296296296296295,0.05376344086021506,0,0.08496732026143791,0.09090909090909091,0.08333333333333333,0.16296296296296298,0.10554317686670628,Kayah,Hpruso,2,3637
MMR002004,3,0,0,0,0,7,0.007079337736004112,0.019607843137254898,0,0,0.012962962962962963,0,0,0.0196078431372549,0,0,0.012962962962962963,0.008142701525054466,Kayah,Shadaw,1,4
MMR002005,11,2,0,5,2,24,0.039517947352819695,0.07189542483660129,0.025974025974025983,0.04166666666666667,0.044444444444444446,0.05376344086021506,0,0.0718954248366013,0.025974025974025976,0.041666666666666664,0.044444444444444446,0.0459951404804346,Kayah,Bawlake,NA,NA
MMR002006,4,0,0,0,0,0,0.005991274569642938,0.026143790849673196,0,0,0,0,0,0.026143790849673203,0,0,0,0.006535947712418301,Kayah,Hpasawng,NA,NA
MMR003001,21,13,5,23,6,39,0.1402039233534155,0.13725490196078427,0.1688311688311688,0.125,0.07222222222222223,0.24731182795698928,0.14285714285714285,0.13725490196078433,0.16883116883116883,0.125,0.07222222222222222,0.12582707325354384,Kayin,Hpa-An,1,7865
MMR003002,1,4,0,3,1,9,0.017334120626334704,0.006535947712418299,0.051948051948051945,0.020833333333333336,0.016666666666666673,0.03225806451612904,0,0.006535947712418301,0.05194805194805195,0.020833333333333332,0.016666666666666666,0.023995999915117562,Kayin,Hlaingbwe,3,13503
MMR003003,56,42,0,26,8,280,0.3058836838045253,0.36601307189542476,0.5454545454545454,0.16666666666666669,0.5185185185185185,0.2795698924731183,0,0.3660130718954248,0.5454545454545454,0.16666666666666666,0.5185185185185185,0.39916320063378885,Kayin,Hpapun,NA,NA
MMR003004,7,1,0,4,1,3,0.020477576742283204,0.045751633986928095,0.012987012987012991,0.020833333333333336,0.00555555555555556,0.043010752688172046,0,0.0457516339869281,0.012987012987012988,0.020833333333333332,0.005555555555555556,0.02128188396570749,Kayin,Thandaunggyi,3,3295
MMR003005,29,22,8,28,7,153,0.2358326676956738,0.18954248366013068,0.2857142857142857,0.14583333333333334,0.2833333333333333,0.3010752688172043,0.2285714285714286,0.1895424836601307,0.2857142857142857,0.14583333333333334,0.2833333333333333,0.22610585901027078,Kayin,Myawaddy,2,8046
MMR003006,25,11,3,11,2,111,0.13287171303569215,0.1633986928104575,0.14285714285714285,0.04166666666666667,0.20555555555555555,0.11827956989247312,0.08571428571428572,0.16339869281045752,0.14285714285714285,0.041666666666666664,0.20555555555555555,0.13836951447245566,Kayin,Kawkareik,3,34057
MMR003007,14,14,2,10,9,23,0.09871791476834883,0.09150326797385619,0.1818181818181818,0.1875,0.0425925925925926,0.10752688172043012,0.05714285714285715,0.0915032679738562,0.18181818181818182,0.1875,0.04259259259259259,0.12585351059615765,Kayin,Kyainseikgyi,1,1342
MMR004001,10,5,1,20,5,42,0.08111154965361414,0.06535947712418298,0.06493506493506494,0.10416666666666666,0.07777777777777778,0.21505376344086025,0.028571428571428574,0.06535947712418301,0.06493506493506493,0.10416666666666667,0.07777777777777778,0.0780597466259231,Chin,Falam,NA,NA
MMR004002,27,8,7,21,5,115,0.17673404444595903,0.17647058823529407,0.10389610389610389,0.10416666666666666,0.21296296296296297,0.22580645161290325,0.19999999999999998,0.17647058823529413,0.1038961038961039,0.10416666666666667,0.21296296296296297,0.1493740804402569,Chin,Hakha,1,2912
MMR004003,15,7,0,16,4,112,0.10420453912122223,0.0980392156862745,0.0909090909090909,0.08333333333333334,0.2074074074074074,0.17204301075268819,0,0.09803921568627451,0.09090909090909091,0.08333333333333333,0.2074074074074074,0.11992226183402654,Chin,Thantlang,NA,NA
MMR004004,15,5,0,4,4,29,0.05595425628542317,0.0980392156862745,0.06493506493506494,0.08333333333333334,0.0537037037037037,0.043010752688172046,0,0.09803921568627451,0.06493506493506493,0.08333333333333333,0.053703703703703705,0.07500282941459412,Chin,Tedim,1,NA
MMR004005,0,0,0,1,0,0,0.001197720189975998,0,0,0,0,0.010752688172043019,0,0,0,0,0,0,Chin,Tonzang,1,NA
MMR004006,74,6,1,27,7,295,0.2853963664807971,0.48366013071895414,0.0779220779220779,0.14583333333333334,0.5462962962962963,0.2903225806451613,0.028571428571428574,0.48366013071895425,0.07792207792207792,0.14583333333333334,0.5462962962962963,0.31342795956766545,Chin,Mindat,2,3117
MMR004007,10,5,1,9,2,74,0.07230131607971739,0.06535947712418298,0.06493506493506494,0.04166666666666667,0.13703703703703704,0.09677419354838711,0.028571428571428574,0.06535947712418301,0.06493506493506493,0.041666666666666664,0.13703703703703704,0.07724956144073791,Chin,Matupi,NA,NA
MMR004008,22,1,0,8,4,63,0.07735692382351121,0.14379084967320258,0.012987012987012991,0.08333333333333334,0.11666666666666665,0.08602150537634409,0,0.1437908496732026,0.012987012987012988,0.08333333333333333,0.11666666666666667,0.0891944656650539,Chin,Kanpetlet,NA,NA
MMR004009,3,5,1,8,0,11,0.03237493880250704,0.019607843137254898,0.06493506493506494,0,0.020370370370370372,0.08602150537634409,0.028571428571428574,0.0196078431372549,0.06493506493506493,0,0.020370370370370372,0.02622831961067255,Chin,Paletwa,2,NA
MMR005001,7,20,4,26,7,39,0.13037574851322362,0.045751633986928095,0.2597402597402597,0.14583333333333334,0.07222222222222223,0.2795698924731183,0.1142857142857143,0.0457516339869281,0.2597402597402597,0.14583333333333334,0.07222222222222222,0.13088686232068583,Sagaing,Sagaing,NA,NA
MMR005002,5,12,2,2,1,50,0.06252946923152464,0.03267973856209149,0.1558441558441558,0.020833333333333336,0.0925925925925926,0.021505376344086023,0.05714285714285715,0.032679738562091505,0.15584415584415584,0.020833333333333332,0.09259259259259259,0.07548745508304332,Sagaing,Myinmu,NA,NA
MMR005003,20,26,0,25,15,235,0.2258076683618385,0.130718954248366,0.3376623376623376,0.3125,0.4351851851851852,0.2688172043010753,0,0.13071895424836602,0.33766233766233766,0.3125,0.4351851851851852,0.3040166192739722,Sagaing,Myaung,1,4106
